# time (s)	h_+ (strain)	h_x (strain)
-0.185852051	2.182524218056317794e-22	5.386269763790395768e-23
-0.185791016	2.180074331230395921e-22	5.666501864687760163e-23
-0.185729981	2.177273711151037941e-22	5.946909793137915447e-23
-0.185668946	2.174122033096825580e-22	6.227452611092481240e-23
-0.185607911	2.170619002720181718e-22	6.508089654379944900e-23
-0.185546875	2.166764354057884754e-22	6.788780509546353950e-23
-0.185485840	2.162557845652245701e-22	7.069485018092361947e-23
-0.185424805	2.157999259555402403e-22	7.350163246958352091e-23
-0.185363770	2.153088398517461815e-22	7.630775482563684044e-23
-0.185302735	2.147825083034049400e-22	7.911282211470357286e-23
-0.185241700	2.142209150599048310e-22	8.191644093670362793e-23
-0.185180664	2.136240452611555898e-22	8.471821958136784858e-23
-0.185119629	2.129918853593956155e-22	8.751776764728906798e-23
-0.185058594	2.123244229031026316e-22	9.031469596873677159e-23
-0.184997559	2.116216464761342998e-22	9.310861625416004664e-23
-0.184936524	2.108835454955055756e-22	9.589914091285388712e-23
-0.184875489	2.101101102319961591e-22	9.868588281229202079e-23
-0.184814454	2.093013315930981898e-22	1.014684549828818487e-22
-0.184753418	2.084572012154608841e-22	1.042464703350453364e-22
-0.184692383	2.075777113356606362e-22	1.070195415059149903e-22
-0.184631348	2.066628548319936979e-22	1.097872804693330439e-22
-0.184570313	2.057126251938538920e-22	1.125492983161028513e-22
-0.184509278	2.047270165978068458e-22	1.153052050679440545e-22
-0.184448243	2.037060239385974627e-22	1.180546092270175692e-22
-0.184387207	2.026496428349277121e-22	1.207971177295106735e-22
-0.184326172	2.015578699505091514e-22	1.235323354943916217e-22
-0.184265137	2.004307027267438495e-22	1.262598653902836492e-22
-0.184204102	1.992681399373922109e-22	1.289793077978936894e-22
-0.184143067	1.980701814915503420e-22	1.316902604892565660e-22
-0.184082032	1.968368288228804936e-22	1.343923183450084770e-22
-0.184020996	1.955680849664556650e-22	1.370850732482682552e-22
-0.183959961	1.942639548264638666e-22	1.397681137735996818e-22
-0.183898926	1.929244453258528764e-22	1.424410250396778459e-22
-0.183837891	1.915495657150568104e-22	1.451033885596443875e-22
-0.183776856	1.901393277526483510e-22	1.477547822114481768e-22
-0.183715821	1.886937459926874950e-22	1.503947796791330371e-22
-0.183654786	1.872128380776554979e-22	1.530229509761129105e-22
-0.183593750	1.856966249777516697e-22	1.556388617138962583e-22
-0.183532715	1.841451313067458856e-22	1.582420734493312299e-22
